Species,Latin Name,Year,Queens,Workers,Males,Unknown
a white-tailed bumblebee,BOMBUS lucorum s.l.,2011,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2011,0,0,1,0
Honeybee,APIS mellifera,2011,0,2,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,1,0,0,0
Forest Cuckoo Bumblebee,BOMBUS sylvestris,2011,0,0,0,1
a white-tailed bumblebee,BOMBUS lucorum s.l.,2011,1,0,0,0
Common Carder,BOMBUS pascuorum,2011,1,0,0,0
Honeybee,APIS mellifera,2011,0,3,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2011,1,0,0,0
Early Bumblebee,BOMBUS pratorum,2011,0,0,1,0
Garden Bumblebee,BOMBUS hortorum,2011,1,0,0,0
Honeybee,APIS mellifera,2011,0,30,0,0
